Name,Status,Maximale Förderrate und Förderhöhe,Antragsberechtigt sind,Beschreibung,Typ,Bestand / Neubau,Förderprogramm,Fördergeber,Basis Förderrate,Art der Maßnahme,Gebäudeart
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,"20 %
60.000 € je WE","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG",Die BEG-Einzelmaßnahme-Förderung unterstützt die Umstellung auf energieeffiziente Wohngebäude durch finanzielle Zuschüsse und Anreize für energetische Modernisierungsmaßnahmen.,Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Gebäudehülle - Wohngebäude,Bund,15 %,"Fenster / Haustür, Dämmung",Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,"20 %
60.000 € je WE","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Durch die BEG-Einzelmaßnahme-Förderung werden gezielt energieeffiziente Maßnahmen in Wohngebäuden unterstützt, um den Energieverbrauch zu senken und den Umstieg auf nachhaltige Energiequellen zu fördern.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagentechnik (außer Heizung) - Wohngebäude,Bund,15 %,"Lüftung, Smart Home",Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung fördert gezielt Maßnahmen zur Verbesserung der Energieeffizienz in Wohngebäuden, indem sie Eigentümer finanziell unterstützt, um energieeffiziente Technologien zu implementieren und den Energieverbrauch zu reduzieren.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wärmepumpen ,Bund,30 %,Fernwärme,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die Förderung im Rahmen der BEG-Einzelmaßnahme zielt darauf ab, den Übergang zu energieeffizienten Wohngebäuden zu erleichtern, indem sie Eigentümer bei der Umsetzung von Modernisierungsmaßnahmen unterstützt, die den Energieverbrauch senken.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Biomasseheizungen - Wohngebäude (458),Bund,30 %,Biomasse,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung zielt darauf ab, die energetische Effizienz von Wohngebäuden zu verbessern, indem sie Eigentümer bei der Umsetzung von Maßnahmen wie Dämmung, Heizungsoptimierung und Nutzung erneuerbarer Energien unterstützt.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Wärmepumpen - Wohngebäude (458),Bund,30 %,Wärmepumpe,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung bietet finanzielle Anreize für Eigentümer von Wohngebäuden, um energieeffiziente Renovierungen durchzuführen und den Energieverbrauch sowie die CO2-Emissionen zu reduzieren.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Brennstoffzellenheizung - Wohngebäude (458),Bund,30 %,Sonstige Heizungen,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,70 %,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude unterstützt Eigentümer dabei, ihre Häuser mit modernen Energiespartechnologien auszustatten und somit den Energieverbrauch und die CO2-Emissionen zu reduzieren.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Innovative Heiztechnik - Wohngebäude ,Bund,30 %,Sonstige Heizungen,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,"70 %
","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Mit der BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude werden Eigentümer finanziell unterstützt, um ihre Wohnimmobilien mit energiesparenden Technologien und Materialien auszustatten und somit den Energieverbrauch zu reduzieren.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Anlagen zur Wärmeerzeugung: Solarthermische Anlagen - Wohngebäude (458),Bund,30 %,Solarthermie,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,"20 %
60.000 € pro WE","Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung zielt darauf ab, die energetische Effizienz von Wohngebäuden zu verbessern, indem sie Eigentümer bei der Umsetzung von Maßnahmen wie Dämmung, Heizungsoptimierung und Nutzung erneuerbarer Energien unterstützt.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Heizungsoptimierung zur Effizienzverbesserung - Wohngebäude,Bund,15 %,Heizungsoptimierung,Wohngebäude
BEG-Einzelmaßnahme-Förderung für energieeffiziente Wohngebäude,true,20.000 €,"Privatperson, Unternehmen, Contractor, Gemeinnützige Organisation, Kommune, WEG","Die BEG-Einzelmaßnahme-Förderung zielt darauf ab, die energetische Effizienz von Wohngebäuden zu verbessern, indem sie Eigentümer bei der Umsetzung von Maßnahmen wie Dämmung, Heizungsoptimierung und Nutzung erneuerbarer Energien unterstützt.",Zuschuss,Bestand,Bundesförderung für effiziente Gebäude (BEG) – Einzelmaßnahme - Fachplanung/Baubegleitung - Wohngebäude,Bund,50 %,"Energieberatung, Lüftung, Fenster / Haustür, Biomasse, Solarthermie, Sonstige Heizungen, Fernwärme, Heizungsoptimierung, Baubegleitung, Dämmung",Wohngebäude
